section,metric,value
table,fact_rows_before,1525600
engineered_property_feature,REPORT_YEAR_NUM,created
engineered_property_feature,REPORT_YEAR_CENTERED,created
engineered_property_feature,PROPERTY_AGE,created
engineered_property_feature,BUILDING_AGE_BIN,created
engineered_property_feature,YEARS_SINCE_IMPROVEMENT,created
engineered_property_feature,HAS_BIG_IMPROVEMENT,created
engineered_property_feature,IMPROVEMENT_RECENCY_BIN,created
engineered_property_feature,POSTAL_FSA,created
engineered_property_feature,LEGAL_ZONING_COMBO,created
engineered_macro_feature,cmhc_rental_supply_existing_converted,merged
engineered_macro_feature,cmhc_rental_supply_existing_converted_lag1,merged
engineered_macro_feature,cmhc_rental_supply_existing_converted_yoy_change,merged
engineered_macro_feature,cmhc_rental_supply_net_change_total,merged
engineered_macro_feature,cmhc_rental_supply_net_change_total_lag1,merged
engineered_macro_feature,cmhc_rental_supply_net_change_total_yoy_change,merged
engineered_macro_feature,cmhc_rental_supply_new_added,merged
engineered_macro_feature,cmhc_rental_supply_new_added_lag1,merged
engineered_macro_feature,cmhc_rental_supply_new_added_yoy_change,merged
engineered_macro_feature,ircc_pr_bc_total,merged
engineered_macro_feature,ircc_pr_bc_total_lag1,merged
engineered_macro_feature,ircc_pr_bc_total_yoy_change,merged
engineered_macro_feature,ircc_pr_vancouver_cma,merged
engineered_macro_feature,ircc_pr_vancouver_cma_lag1,merged
engineered_macro_feature,ircc_pr_vancouver_cma_yoy_change,merged
engineered_macro_feature,mortgage_rate_5yr_avg,merged
engineered_macro_feature,mortgage_rate_5yr_avg_lag1,merged
engineered_macro_feature,mortgage_rate_5yr_avg_yoy_change,merged
engineered_macro_feature,mortgage_rate_5yr_end_of_year,merged
engineered_macro_feature,mortgage_rate_5yr_end_of_year_lag1,merged
engineered_macro_feature,mortgage_rate_5yr_end_of_year_yoy_change,merged
engineered_macro_feature,study_permits_bc_total,merged
engineered_macro_feature,study_permits_bc_total_lag1,merged
engineered_macro_feature,study_permits_bc_total_yoy_change,merged
source_status,mortgage_rate,merged
source_status,ircc_pr,merged
source_status,ircc_study_permits,merged
source_status,cmhc_rental,merged
engineered_group_feature,neigh_prev_year_median_land_value,created
engineered_group_feature,neigh_prev_year_mean_land_value,created
engineered_group_feature,neigh_prev_year_property_count,created
engineered_group_feature,neigh_prev_year_growth_rate,created
engineered_group_feature,neigh_prev_2yr_median_land_value,created
engineered_group_feature,neigh_prev_2yr_mean_land_value,created
engineered_group_feature,neigh_prev_3yr_rolling_median_land_value,created
engineered_group_feature,neigh_prev_3yr_rolling_mean_land_value,created
engineered_group_feature,neigh_prev_3yr_growth_trend,created
engineered_group_feature,neigh_prev_3yr_value_std,created
engineered_group_feature,fsa_prev_year_median_land_value,created
engineered_group_feature,fsa_prev_year_mean_land_value,created
engineered_group_feature,fsa_prev_year_property_count,created
engineered_group_feature,fsa_prev_2yr_median_land_value,created
engineered_group_feature,fsa_prev_3yr_rolling_median_land_value,created
engineered_group_feature,fsa_prev_3yr_growth_trend,created
