dimension,metric,what_it_measures,granularity,primary_source,access,in_our_db,how_to_compute,notes
Schools,nearest_school_rank,Fraser Institute rank of the best-ranked school serving the area,subarea,school_rank + land_school (ours),have,have_now,"per subarea centroid: min rank_value (best) of schools within ~2km via land_school distance",Strongest 'have' dimension — already in the DB
Schools,avg_school_score,Average Fraser Institute score of nearby schools,subarea,school_rank (ours),have,have_now,mean score_value of ranked schools within ~2km,Handles rank_name (elementary vs secondary) separately if wanted
Schools,school_count_2km,Number of ranked schools within 2km,subarea,land_school (ours),have,have_now,count of land_school rows with distance < 2000,Proxy for school access/choice
Housing,median_home_value,Typical home price in the area,subarea,our market-price + assessment data,have,have_now,median list/assessed value per subarea from our own listings,You OWN this — the most defensible housing signal
Housing,price_per_sqft,Typical price per square foot,subarea,our market data,have,have_now,median listprice/sqft_best per subarea,Already computed in the market pipeline
Housing,ownership_rate,Share of owner-occupied dwellings,municipality/DA,StatCan Census 2021,open-free,partial,census tenure; we have municipality census_csd (finer = dissemination area),Have at municipality level today
Housing,median_rent,Typical rent,municipality,CMHC Rental Market Survey + our lease listings,open-partial,partial,CMHC by municipality; or aggregate our transactiontype=R (lease) listings,We also have lease listings in the source data
Amenities,grocery_count_1km,Grocery/supermarket stores within 1km,subarea,OpenStreetMap (Overpass API),open-free,have_now,"Overpass shop=supermarket/convenience near subarea centroid; count within 1km",Built in build_amenities_deploy.py -> subarea_amenities.parquet (OSM ODbL)
Amenities,food_count_1km,Restaurants + cafes within 1km,subarea,OSM Overpass,open-free,have_now,amenity=restaurant/cafe/fast_food count within 1km,Built in build_amenities_deploy.py
Amenities,park_dist_and_count,Distance to nearest park + parks within 1km,subarea,OSM + municipal parks open data,open-free,have_now,leisure=park nearest distance and count,Built (park_count_1km + park_dist_km); city park polygons a future refinement
Amenities,amenity_density_score,Composite POI density (0-100),subarea,OSM,open-free,have_now,weighted+normalized sum of the POI counts above,"Built as amenity_score (our saturating weighted formula, NOT AreaVibes')"
Commute,transit_stops_800m,Transit stops within 800m,subarea,TransLink GTFS (open),open-free,have_now,count GTFS stops within 800m of centroid,Built in build_transit_deploy.py -> subarea_transit.parquet (Metro Van only)
Commute,dist_to_rapid_transit,Distance to nearest SkyTrain/SeaBus station,subarea,TransLink GTFS,open-free,have_now,nearest rapid-transit station distance,"Built (rapid_transit_dist_km + transit_score); route_type 1/2/4 = SkyTrain/WCE/SeaBus"
Commute,pct_transit_commute,Share commuting by public transit,municipality/DA,StatCan Census 2021 journey-to-work,open-free,partial,census commute mode; municipality now, DA for finer,Have at municipality level today
Commute,avg_commute_minutes,Median commute duration,municipality/DA,StatCan Census 2021,open-free,partial,census commute-duration table,
Crime,crimes_per_1000,Crime rate,municipality/neighbourhood,municipal police open data (VPD / Surrey / etc.),open-free,collect,geocoded incidents per capita near subarea,Each city has its own portal + schema; VPD data is point-level
Crime,property_crime_density,Property-crime incidents near the area,subarea,municipal crime open data,open-free,collect,count property-crime points within radius / area,Normalize per area or per dwelling
Employment,employment_rate,Share of working-age population employed,municipality/DA,StatCan Census 2021,open-free,partial,census labour-force table,Have at municipality (census_csd)
Employment,median_household_income,Household income,municipality/DA,StatCan Census 2021,open-free,partial,census income table,Have at municipality (census_csd)
Cost of Living,rel_cost_index,Cost of living vs regional average,municipality,StatCan / no clean subarea index,open-limited,proxy,proxy with housing cost + income (no subarea cost index exists),AreaVibes' 'Cost of Living' is largely housing-driven anyway
Health & Safety,dist_to_hospital,Distance to nearest hospital,subarea,OSM + provincial health-facility list,open-free,have_now,amenity=hospital nearest distance,Built (hospital_dist_km) in build_amenities_deploy.py
Health & Safety,clinic_pharmacy_count_2km,Clinics + pharmacies within 2km,subarea,OSM,open-free,have_now,amenity=clinic/doctors/pharmacy count within 2km,Built (health_count_2km) in build_amenities_deploy.py
Livability,livability_score,Composite 0-100 livability index,subarea,derived from all dimensions above,derive,derive,our own weighted formula over normalized sub-scores,AreaVibes-style idea but OUR formula/weights — do NOT copy theirs
User Ratings,user_rating,Subjective resident rating,n/a,crowd-sourced (AreaVibes proprietary),not-available,skip,not derivable from data; would need our own crowd-sourcing,OMIT — this is AreaVibes' proprietary user data
